1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
24,22,6,3,0,0,22,5,1,0,75,49,30,6,1,61,21,8,11,1,85,0,20,7,4,1
23,26,8,5,2,0,13,5,4,1,43,47,20,5,5,71,25,9,9,2,80,0,18,3,1,1
24,26,9,4,0,0,20,5,5,0,73,50,29,5,1,74,24,4,7,3,88,0,23,0,1,1
32,27,6,3,0,0,15,2,1,0,97,61,36,7,1,84,38,2,4,1,89,0,19,3,0,1
20,21,5,2,0,0,15,7,4,0,79,59,21,5,2,86,29,8,14,1,89,0,18,3,0,1
24,25,3,4,0,0,22,5,0,0,110,69,25,4,1,110,33,3,4,2,106,0,19,2,0,1
5,5,3,5,4,0,9,5,3,7,40,30,24,10,5,52,13,5,3,0,80,0,15,2,0,1
29,22,9,6,0,0,24,1,1,0,118,64,19,2,0,119,35,4,4,0,110,0,15,2,1,1
21,29,6,3,0,0,31,5,1,0,80,65,37,8,0,86,28,5,3,0,91,0,18,2,0,1
17,16,12,3,0,0,24,8,0,0,69,43,42,10,0,79,18,6,7,0,86,0,25,4,1,1
24,17,8,4,0,0,25,3,2,0,112,59,37,1,0,110,35,3,6,1,96,0,12,2,0,1
24,20,6,2,0,0,25,4,1,0,110,61,37,4,0,115,30,4,6,2,96,0,11,2,0,1
22,30,8,0,0,0,24,8,1,0,110,68,31,5,0,116,29,2,1,0,92,0,17,1,2,1
23,28,8,1,0,0,24,4,3,0,112,65,21,3,0,99,27,4,2,0,106,0,27,2,1,1
24,25,10,1,0,0,28,4,0,0,74,43,43,6,0,93,37,8,4,0,84,0,19,3,1,1
23,17,9,2,0,0,29,3,1,0,97,65,34,5,1,108,27,4,1,0,103,0,24,2,0,1
22,33,9,2,0,0,19,6,1,0,109,56,37,4,0,95,36,1,1,2,80,0,19,3,0,1
28,23,4,5,0,0,26,3,1,0,115,69,41,1,0,106,34,4,1,0,108,0,11,1,1,1
22,18,8,0,0,0,31,4,1,0,101,57,34,4,0,102,29,4,5,1,107,0,14,6,2,1
36,14,10,2,0,0,17,2,3,0,86,68,29,3,0,96,42,6,6,1,91,0,16,3,2,1
2,3,1,18,1,0,4,6,21,0,9,2,7,7,16,18,3,1,25,7,34,0,7,2,4,1
13,7,0,10,26,0,4,2,4,6,32,15,7,2,8,32,2,0,5,3,58,0,6,4,2,1
8,7,3,11,3,0,7,4,6,7,17,19,11,9,14,55,9,2,5,1,74,0,12,2,0,1
10,16,4,3,7,0,12,5,9,6,44,15,15,6,8,57,14,3,6,2,63,0,11,2,3,1
17,10,5,6,1,0,14,7,8,1,49,40,22,7,7,80,19,4,8,2,105,0,17,5,1,1
7,4,0,12,8,0,5,0,23,0,15,19,4,1,33,31,4,3,3,1,42,0,2,0,1,1
14,13,1,5,8,0,10,5,8,5,52,26,19,2,4,65,16,4,7,1,90,0,15,3,1,1
18,8,7,6,7,0,14,7,5,1,70,36,20,8,1,97,25,5,6,0,95,0,12,2,0,1
3,4,0,4,17,0,1,0,18,3,9,4,2,0,41,12,0,0,1,0,27,0,0,0,1,1
3,0,2,14,8,0,4,1,19,1,8,2,8,5,22,18,7,2,8,5,32,0,7,1,1,1
7,1,2,4,7,0,6,3,3,8,22,20,6,1,8,32,7,5,3,1,45,0,5,3,2,1
15,17,8,7,0,0,11,11,2,2,55,42,28,4,5,88,27,4,11,0,115,0,15,1,2,1
16,13,6,7,20,0,8,2,8,1,33,28,8,6,14,43,25,0,1,0,42,0,3,4,0,1
7,4,5,6,17,0,4,3,7,9,26,19,6,3,9,28,8,2,10,2,44,0,7,0,1,1
13,9,4,3,11,0,10,1,8,10,26,19,9,8,8,41,12,2,1,2,57,0,12,2,1,1
15,11,6,3,3,0,12,5,7,9,32,23,9,12,9,47,16,3,12,2,69,0,9,3,1,1
15,18,9,6,7,0,18,4,7,0,43,26,16,8,8,61,18,6,1,2,105,0,20,4,1,1
7,8,4,13,0,0,3,11,2,0,25,9,8,27,0,33,4,2,26,5,42,0,8,16,18,1
25,13,9,5,0,0,24,6,8,0,62,31,26,4,5,67,25,9,5,0,108,0,21,2,2,1
18,13,15,9,0,0,22,7,5,0,45,36,24,8,3,64,14,4,9,0,104,0,20,7,1,1
12,13,7,21,0,0,11,6,6,0,27,22,19,12,1,43,13,5,15,6,59,0,13,8,6,1
13,11,9,6,0,0,15,7,5,0,30,19,34,12,0,33,9,10,22,2,59,0,20,8,8,1
32,47,2,5,0,0,31,4,2,0,55,37,37,7,1,49,34,4,5,2,60,0,20,2,1,1
3,6,2,7,7,0,2,0,10,0,75,47,2,2,22,53,21,3,7,8,44,0,3,8,0,1
13,13,11,5,0,0,20,14,2,0,59,23,18,12,3,76,17,5,16,1,88,0,19,6,2,1
21,9,4,13,1,0,11,2,18,0,49,30,12,2,8,57,14,8,10,1,74,0,18,4,0,1
11,27,7,10,0,0,17,9,3,0,52,25,19,13,0,69,12,2,12,6,84,0,22,8,2,1
17,9,5,10,3,0,4,1,16,0,42,24,13,2,19,66,13,2,5,6,64,0,11,1,2,1
10,13,6,15,1,0,14,8,2,0,55,24,28,13,0,60,14,2,17,4,92,1,13,3,6,1
11,11,5,18,4,0,10,0,12,0,36,27,7,4,22,47,16,1,6,3,58,0,3,1,3,1
4,2,4,26,2,0,2,5,17,0,7,9,0,5,13,20,3,4,13,13,29,0,1,5,11,1
27,14,6,4,1,0,16,11,2,0,63,41,33,16,0,67,23,3,5,1,99,0,23,6,0,1
27,14,6,4,1,0,16,11,2,0,63,41,33,16,0,67,23,3,5,1,99,0,23,6,0,1
3,1,1,1,38,0,1,1,3,14,9,6,2,1,11,9,0,1,2,0,39,0,0,0,0,1
4,3,5,23,1,0,5,3,5,0,19,10,13,15,7,19,8,9,20,4,28,0,13,16,7,1
11,18,13,6,4,0,12,11,3,0,56,34,25,8,2,78,26,5,7,1,117,0,18,3,1,1
2,5,5,21,2,0,5,6,11,0,14,8,10,7,10,19,4,5,19,9,49,0,7,11,6,1
5,3,2,11,18,0,1,1,10,4,14,8,5,2,18,14,5,0,3,1,33,0,4,1,1,1
1,5,4,22,0,0,2,4,17,0,14,7,6,11,3,19,5,3,34,4,51,0,6,8,8,1
11,15,4,15,4,0,25,6,5,0,52,17,22,9,6,58,8,4,10,4,82,0,16,1,0,1
2,8,5,14,4,0,1,4,16,1,15,6,6,9,15,22,9,2,15,4,35,0,3,5,3,1
3,6,1,9,17,0,2,1,15,0,19,10,3,2,31,22,7,2,4,3,48,0,3,0,0,1
24,20,12,3,2,0,17,7,5,0,79,41,22,3,2,107,24,1,5,0,128,0,19,4,2,1
5,1,2,33,0,0,2,2,26,0,15,7,6,10,2,28,4,2,26,5,38,1,5,3,2,1
22,16,5,6,0,0,14,7,2,0,73,38,20,17,4,111,24,1,10,0,125,0,13,4,0,1
2,2,1,42,0,0,1,5,21,0,9,8,3,15,2,22,3,0,21,11,38,0,1,0,1,1
22,23,6,5,0,0,18,6,2,0,75,30,27,9,3,97,28,2,9,0,104,0,18,7,1,1
3,6,2,21,0,0,1,5,15,0,31,17,7,9,2,28,8,4,34,3,84,0,7,10,4,1
18,25,8,2,3,0,13,5,2,0,93,41,29,6,3,99,25,1,6,1,108,0,21,2,1,1
9,8,11,10,3,0,7,11,14,0,38,18,22,5,3,66,10,4,14,2,79,0,12,10,1,1
7,7,3,18,0,0,3,8,21,0,26,16,7,12,6,57,5,1,24,5,68,0,4,3,1,1
18,15,11,6,0,0,21,7,1,0,90,41,25,5,1,121,19,7,7,2,125,0,15,4,1,1
11,13,10,17,1,0,10,8,10,0,39,18,6,10,9,65,11,6,11,2,83,0,13,4,1,1
18,20,4,7,4,0,17,4,3,0,115,47,21,4,0,115,20,2,8,2,119,0,14,1,0,1
10,8,4,14,0,0,10,11,20,0,24,22,7,10,6,39,8,2,24,3,72,0,1,6,2,1
5,1,0,32,0,0,3,1,18,0,15,8,3,11,5,28,7,0,31,9,47,0,5,2,2,1
21,26,5,8,2,0,18,7,4,4,71,26,28,2,2,89,16,3,7,0,93,0,9,3,0,1
3,3,0,38,0,0,3,3,9,0,21,8,5,16,2,30,4,0,29,10,62,0,3,4,5,1
16,22,12,3,1,0,22,9,1,0,79,42,25,10,2,103,19,1,5,0,132,0,20,3,1,1
6,5,3,23,0,0,1,8,13,0,41,15,12,14,1,35,5,1,28,4,84,0,8,3,6,1
8,5,6,18,0,0,5,13,19,0,27,7,12,12,5,41,12,0,22,4,63,0,2,4,3,1
2,1,2,38,0,0,2,3,16,0,19,1,0,13,4,30,3,1,27,10,49,0,1,2,4,1
12,19,13,4,2,0,21,7,2,0,90,43,20,7,1,96,24,3,4,0,130,0,23,3,2,1
5,3,3,33,0,0,8,3,19,0,19,7,4,17,2,33,2,1,20,6,75,0,8,1,3,1
22,16,10,10,0,0,20,6,1,0,80,43,23,7,0,112,23,0,11,0,110,0,16,2,3,1
2,6,12,25,1,0,4,6,17,0,21,10,8,9,5,41,5,3,23,2,62,0,6,6,1,1
2,1,1,44,0,0,0,1,16,0,5,3,0,10,4,22,1,1,32,11,33,0,1,0,3,1
2,3,5,27,0,0,6,10,11,0,31,23,8,11,1,48,6,1,24,7,84,0,11,3,1,1
23,22,8,8,4,0,7,5,3,0,78,45,19,9,2,89,19,4,13,1,89,0,12,2,0,1
7,9,10,20,0,0,5,9,3,0,42,16,10,16,1,65,9,7,25,2,95,0,14,5,2,1
6,10,6,26,0,0,6,5,9,0,52,19,13,6,4,67,14,2,20,5,84,0,9,3,0,1
10,16,16,10,0,0,13,10,7,0,64,30,21,16,0,85,6,2,12,1,142,0,9,2,0,1
2,5,3,16,3,0,4,2,21,0,7,5,7,6,20,11,2,5,13,10,23,0,3,4,6,1
1,1,2,5,22,0,1,0,18,2,1,3,1,4,20,3,2,0,3,12,11,0,2,2,8,1
1,1,1,4,22,0,4,1,14,2,8,1,1,1,26,3,0,0,2,12,7,0,3,4,2,1
3,2,2,2,17,0,3,0,3,16,5,3,6,1,8,11,3,2,3,6,13,0,6,5,3,1
2,3,0,16,2,0,1,0,17,1,5,3,3,4,5,2,3,8,12,23,15,0,5,12,18,1
9,5,2,15,7,0,3,2,18,1,8,6,5,3,14,6,10,6,7,10,11,0,7,4,8,1
2,3,1,20,1,0,0,0,11,0,2,4,1,2,0,3,3,8,7,37,8,0,4,13,34,1
1,2,0,9,0,0,1,1,13,0,3,1,2,9,3,2,0,5,18,33,7,0,2,10,36,1
8,14,2,5,8,0,7,0,10,4,19,12,16,5,16,22,10,6,7,8,19,0,20,4,5,1
6,8,1,7,13,0,3,3,16,9,14,9,8,2,15,10,12,4,1,2,20,0,9,4,6,1
9,5,1,6,7,0,3,1,7,13,16,9,14,5,10,16,11,9,3,10,28,0,7,3,3,1
4,2,2,2,22,0,3,1,3,0,3,4,5,3,6,2,3,10,6,12,4,0,10,15,34,0
2,2,1,0,33,0,4,0,10,1,1,1,5,0,19,2,1,0,2,13,4,0,4,1,10,0
0,0,0,0,57,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,42,0,0,0,0,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,2,0,0,0,54,0,0,0,0,0,31,0,0,0,0,16,0,0,0,1,0,0
1,2,0,4,5,0,2,0,34,0,4,1,3,0,28,3,2,2,3,21,2,0,1,1,7,0
1,0,0,2,17,0,0,0,32,0,0,0,0,1,38,3,1,0,0,5,2,0,0,0,2,0
1,0,0,0,44,0,0,0,2,0,0,1,0,0,37,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,52,0,0,0,3,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,33,0,0,0,5,2,0,0,0,0,43,1,0,1,0,2,0,0,0,1,1,0
0,0,0,0,21,0,0,0,18,2,0,0,1,0,45,1,0,1,0,5,0,0,0,0,0,0
0,0,0,6,0,0,0,0,58,0,0,0,0,0,19,0,0,0,0,24,0,0,1,1,2,0
0,0,0,7,0,0,0,0,60,0,0,0,0,0,13,0,0,1,0,30,1,0,0,0,0,0
0,0,0,5,0,0,1,0,59,0,0,0,0,0,33,1,0,0,0,7,0,0,0,0,0,0
0,0,0,0,23,0,0,0,11,0,0,0,0,1,55,1,0,0,0,1,0,0,0,0,0,0
0,0,0,9,0,0,0,0,50,0,0,0,0,0,23,1,0,1,1,26,0,0,0,0,0,0
0,0,1,11,0,0,0,0,37,0,1,0,0,2,15,0,0,1,3,39,1,0,0,2,9,0
0,0,0,10,0,0,0,0,31,0,0,0,0,2,13,1,0,2,8,42,3,0,0,1,14,0
0,0,0,4,0,0,0,0,23,0,0,0,0,0,15,0,0,2,4,58,0,0,0,3,15,0
0,0,0,4,0,0,0,0,15,0,2,0,0,0,21,0,0,1,0,53,2,0,0,5,26,0
0,0,0,7,0,0,0,0,32,0,1,0,1,1,8,1,0,1,0,46,2,0,0,3,27,0
15,16,4,2,5,0,6,2,3,14,42,20,11,3,6,25,20,7,5,1,48,0,6,3,1,0
14,6,3,2,8,0,7,1,3,10,28,31,11,1,12,43,18,7,5,1,53,0,9,2,2,0
12,6,3,3,8,0,7,2,1,12,34,21,9,2,12,39,19,4,5,2,42,0,13,2,2,0
14,7,3,2,8,0,4,3,3,9,20,21,8,1,11,22,14,1,6,1,40,0,10,2,4,0
16,14,1,2,6,0,10,1,2,12,39,21,18,4,6,43,20,2,3,5,49,0,9,4,4,0
13,14,2,1,9,0,5,1,1,9,29,28,14,0,7,35,18,3,8,4,32,0,6,1,3,0
19,8,3,2,5,0,9,1,1,12,30,23,9,2,10,37,15,2,4,0,45,0,7,2,1,0
17,8,4,3,10,0,4,2,2,10,28,27,6,6,9,28,24,5,12,2,46,0,6,1,1,0
16,7,4,7,6,0,5,3,3,9,51,21,10,0,5,41,20,7,10,2,47,0,11,3,1,0
12,9,2,5,6,0,6,4,4,11,43,17,12,2,11,34,21,5,7,2,53,0,12,3,1,0
21,7,6,2,10,0,5,4,2,11,24,23,8,4,10,26,22,1,4,2,51,0,8,6,2,0